name,type
Larsen & Toubro Infotech,None
Burdwan Med Coll,College
40 Jadunath Sarbovouma Lane,None
Max Hlth Care Inst,Institute
PD Hinduja Natl Hosp & Med Res Ctr,Hospital
Govt Uttar Pradesh,None
HNB Garhwal Univ,University
ISF Coll Pharm,College
King Georges Med Univ KGMU,University
WHO Reg Off South East Asia,None
Bharath Inst Higher Educ & Res,Institute
SRM Med Coll Hosp & Res Ctr,College
Natl Fdn Liver Res,Research Center
SVKMS NMIMS,None
Global Inst Pharmaceut Educ & Res,Institute
Sree Narayana Coll,College
Ctr Dis Dynam Econ & Policy,Research Center
Govt Tamil Nadu,None
Guntur Med Coll,College
Govt Andhra Pradesh,None
Amity Univ Rajasthan,University
West Bengal State Univ,University
Aliah Univ,University
Netaji Subhas Inst Technol,Institute
MGM Muthoot Hosp Pathanamthitta,Hospital
CRAFT Hosp & Res Ctr,Hospital
Jawaharlal Inst Postgrad Med Educ & Res,Institute
Maharaja Krushna Chandra Gajapati Med Coll,College
Manipal Univ,University
Kalasalingam Acad Res & Educ,Academy
BS Abdur Rahman Crescent Inst Sci & Technol,Institute
Saral Diagnost,None
Adamas Univ,University
Fakir Mohan Univ,University
Pingla Thana Mahavidyalaya,None
Super Special Pediat Hosp & Post Grad Teaching In,Hospital
Agrevolution Pvt Ltd,None
Tata Inst Social Sci,Institute
Bihar State Pollut Control Board,None
Mahavir Canc Inst & Res Ctr,Institute
Patanjali Chikitsalya,None
Patanjali Res Inst,Institute
Indian Inst Technol IIT Roorkee,Institute
Indian Inst Technol IIT Delhi,Institute
Natl Inst Technol Patna,Institute
Periyar Univ,University
Clin Brain Neuropsychiat Inst & Res Ctr,Institute
Indian Psychiat Soc,None
Govt Karnataka,None
NIMHANS,None
Anand Hosp & Eye Ctr,Hospital
Ctr Sight Grp Eye Hosp,Hospital
BHU,None
Purulia Govt Med Coll & Hosp,College
SHKM Govt Med Coll,College
LV Prasad Eye Inst,Institute
Optometry Council India,None
Inst Math Sci,Institute
Aravind Eye Hosp & Postgrad Inst Ophthalmol,Institute
Dr Shroffs Char Eye Hosp,Hospital
Pioneer Medilaser Pvt Ltd,None
Insight Vision Fdn,None
Goa Med Coll,College
Karnataka Inst Med Sci,Institute
Delhi Pharmaceut Sci & Res Univ,University
Composite Reg Ctr Persons Disabil,Research Center
Hindustan Inst Technol & Sci,Institute
Sri Sivasubramaniya Nadar Coll Engn,College
Natl Inst Res TB,Institute
Kongunadu Arts & Sci Coll,College
ICMR Natl Inst Occupat Hlth,Institute
BMS Coll Engn,College
Vidya Siri Coll Pharm,College
IIT BHU Varanasi,None
Dayalbagh Educ Inst,Institute
Malaviya Natl Inst Technol,Institute
CSIR Natl Chem Lab,None
Bose Inst,Institute
Govt Yoga & Naturopathy Med Coll & Hosp,College
Assam Town Univ,University
Dr Chandramma Dayananda Sagar Inst Med Educ & Res,Institute
Guru Gobind Singh Indraprastha Univ,University
GGS Indraprastha Univ,University
PRIST Deemed Univ,University
REVA Univ,University
Inst Social & Econ Change ISEC Bangalore,Institute
MG Univ,University
SRM Univ AP,University
Inst Bioresources & Sustainable Dev IBSD,Institute
Pentamed Hosp,Hospital
Indian Inst Management,Institute
MediCiti Med Coll,College
Galgotias Univ,University
State Bank Inst Credit & Risk Management,Institute
State Bank Inst Leadership,Institute
BBSBE Coll,College
Chandigarh Univ,University
SN Med Coll & Hosp,College
Nirma Univ,University
Ramnarain Ruia Autonomous Coll,College
Vinayaka Mission Res Fdn,Research Center
Birla Inst Technol,Institute
Indian Inst Bombay,Institute
DY Patil Univ,University
Inst Bioinformat & Appl Biotechnol IBAB,Institute
Natl Inst Technol Karnataka,Institute
BW Lions Superspecial Eye Hosp,Hospital
Def Res & Dev Org,Research Center
Indian Inst Informat Technol Design & Mfg,Institute
Vivek Coll Tech Educ,College
JC Bose Univ Sci & Technol,University
Samsung India Pvt Ltd,None
Krishna Univ,University
Sri Krishna Coll Engn & Technol,College
Adikavi Nannaya Univ,University
PSG Inst Technol & Appl Res,Institute
Kerala Univ Hlth Sci,University
Grace Coll Pharm,College
SHUATS,None
Guru Ghasidas Univ,University
Kurukshetra Univ,University
Cooch Behar Panchanan Barma Univ,University
Govt Gujarat,None
GIZ India Off,None
Shri Ramswaroop Mem Univ,University
Babasaheb Bhimrao Ambedkar Univ,University
Int Food Policy Res Inst,Institute
FHI Solut,None
Univ Rajasthan,University
Dr APJ Abdul Kalam Tech Univ,University
Govt Med Coll Kota,College
Uttar Pradesh Univ Med Sci,University
GITAM,None
Minist Hlth & Family Welf,None
West Bengal Univ Anim & Fishery Sci,University
Dr Hari Singh Gour Vishwavidyalaya,None
Natl Inst Technol Raipur,Institute
Univ Coll Med Sci Delhi,College
Sharda Univ,University
IILM Coll Engn Technol,College
Yogi Vemana Univ,University
ICAR Natl Rice Res Inst,Institute
Reg Canc Ctr Trivandrum,Research Center
ICMR Natl Inst Cholera & Enter Dis,Institute
Pondicherry Inst Med Sci,Institute
NMIMS Univ,University
Univ Agr Sci,University
Sushrut ENT Hosp,Hospital
Dr Khans ENT Res Ctr,Research Center
Magadh Univ,University
Asansol Girls Coll,College
Command Hosp,Hospital
Natl Inst Malaria Res,Institute
Natl Inst Technol Srinagar,Institute
Prof M Viswanathan Diabet Res Ctr,Research Center
SV Natl Inst Technol SVNIT,Institute
Jaslok Hosp & Res Ctr,Hospital
Shiv Nadar Univ,University
Bal Krishna Inst Technol,Institute
Career Point Univ,University
VBSPU,None
Rajasthan Tech Univ,University
Veer Surendra Sai Univ Technol,University
Aditya Inst Technol & Management,Institute
Triveni Devi Bhalotia Coll,College
City Coll,College
SL Raheja Hosp,Hospital
Graph Era Deemed Univ,University
Ravenshaw Univ,University
NGF Coll Engn & Technol,College
Proteininsights,None
Gauhati Univ,University
Indian Inst Management Bodh Gaya,Institute
Indian Inst Management Lucknow,Institute
Indian Inst Management Rohtak,Institute
Soban Singh Jeena Univ,University
Kumaun Univ,University
Sona Coll Arts & Sci,College
MGR Coll,College
Priyadarshini JL Coll Pharm,College
Gurunanak Coll Pharm,College
MAHE,None
Acad Family Phys India AFPI,Academy
BITS Pilani,None
Bangalore Univ,University
Univ North Bengal,University
Indian Inst Informat Technol Allahabad,Institute
Majlis Arts & Sci Coll,College
MES Coll Marampally,College
Providence Womens Coll,College
Pushpagiri Inst Med Sci & Res,Institute
Natl Inst Pharmaceut Educ & Res,Institute
JECRC Univ Jaipur,University
BKL Walawalkar Rural Med Coll,College
MMU Med Coll,College
Inst Nucl Med & Allied Sci,Institute
Council Sci & Ind Res Inst Himalayan Bioresource,Institute
Translat Hlth Sci & Technol Inst,Institute
CSIR Cent Sci Instruments Org,Institute
Inst Pulmocare & Res,Institute
